Epoch,Training Loss,Training Accuracy (%),Validation Loss,Validation Accuracy (%),Time (min:sec),Learning Rate
1,2.4735362378324006,33.26849503950639,2.371278237838119,33.19050513403912,15m46s,0.09890748929868662
2,2.2118886581005213,36.81632450648716,2.305286982336893,34.15502436470044,18m15s,0.09567770515484184
3,2.1579360014625957,37.7440712668679,2.2444775592150306,35.07598166262285,21m35s,0.0904518046337755
4,2.122730325447855,38.34548801570744,2.1987210729203266,36.09802765613554,21m36s,0.08345818466491112
5,2.0933055365820983,38.83354385177811,2.1660673850299634,36.4528561925524,16m32s,0.0750025
6,2.066202540676315,39.28845145485618,2.1374509896199805,37.336376201941384,15m40s,0.0654543046337755
7,2.0400392551265365,39.75054010168299,2.118919729772954,37.61557660559071,15m52s,0.05523090052106635
8,2.012596233566473,40.32367854923397,2.089056831070584,37.95623188159492,15m55s,0.04477909947893368
9,1.9859176825054667,40.856685886135345,2.0643278402790104,38.42710799591541,18m43s,0.03455569536622451
10,1.9593934529981056,41.37468214158888,2.043173942360642,38.68536917094603,20m23s,0.025007500000000012
11,1.9331269890263483,41.91127628475041,2.017941318017344,39.07959103409808,16m16s,0.0165518153350889
12,1.9077783801000228,42.45700588474026,1.985442367106762,39.90770064983757,15m40s,0.009558195366224508
13,1.8841786775496099,42.9872042172915,1.9554776465032382,40.534145933596996,15m41s,0.004332294845158164
